Campo;Fuente1;Fuente2;Fuente3;Fuente4;Fuente5;Fuente6
campovx_11_fuente;Declaración Jurada sobre Nomina Sence (F4500);;;;;
campovx_03_vector;7;;;;;
campovx_11_fuente;F1879;;;;;
campovx_03_vector;9;;;;;
campovx_11_fuente;F29;;;;;
campovx_03_vector;10;;;;;
campovx_11_fuente;F1879;;;;;
campovx_03_vector;11;;;;;
campovx_11_fuente;F29;;;;;
campovx_03_vector;12;;;;;
campovx_11_fuente;F50;;;;;
campovx_03_vector;14;;;;;
campovx_11_fuente;F29;;;;;
campovx_03_vector;16;;;;;
campovx_11_fuente;F29;;;;;
campovx_03_vector;17;;;;;
campovx_11_fuente;F29;;;;;
campovx_03_vector;18;;;;;
campovx_11_fuente;F1887;;;;;
campovx_03_vector;19;;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_03_vector;20;;;;;
campovx_11_fuente;F29bis;;;;;
campovx_03_vector;21;;;;;
campovx_11_fuente;Vector;;;;;
campovx_03_vector;22;;;;;
campovx_11_fuente;F29;;;;;
campovx_03_vector;24;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;25;;;;;
campovx_11_fuente;F1832;;;;;
campovx_03_vector;26;;;;;
campovx_11_fuente;Nómina Donaciones a Universidades e Inst. Profesionales, Ley Nº 18.681, de 1987 (DONAUNIV.DAT);;;;;
campovx_03_vector;27;;;;;
campovx_11_fuente;F1832;;;;;
campovx_03_vector;29;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;31;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;32;;;;;
campovx_11_fuente;F29;;;;;
campovx_03_vector;33;;;;;
campovx_11_fuente;Nómina Superficie de Explotación Forestal Acogidos al D.L. Nº 701, de 1974 (FORESTAL.DAT);;;;;
campovx_03_vector;34;;;;;
campovx_11_fuente;F1870;;;;;
campovx_03_vector;35;;;;;
campovx_11_fuente;CVC;Vector Renta;;;;
campovx_03_vector;36;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;37;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;38;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;42;;;;;
campovx_11_fuente;CVC;Nómina SDF;;;;
campovx_03_vector;44;;;;;
campovx_11_fuente;F18XX;;;;;
campovx_03_vector;46;;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_03_vector;48;;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_03_vector;53;;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_03_vector;54;;;;;
campovx_11_fuente;Nómina Inversiones en el Extranjero (EXTERIOR.DAT);;;;;
campovx_03_vector;55;;;;;
campovx_11_fuente;F1889;;;;;
campovx_03_vector;56;;;;;
campovx_11_fuente;F1891;;;;;
campovx_03_vector;57;;;;;
campovx_11_fuente;F1891;;;;;
campovx_03_vector;59;;;;;
campovx_11_fuente;F1890;;;;;
campovx_03_vector;62;;;;;
campovx_11_fuente;F1894;;;;;
campovx_03_vector;63;;;;;
campovx_11_fuente;F1891;;;;;
campovx_03_vector;64;;;;;
campovx_11_fuente;F1891;;;;;
campovx_03_vector;65;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;67;;;;;
campovx_11_fuente;Nómina Cotizaciones Mensuales, Art. 20 D.L. Nº 3.500, de 1980 (COTIZAC_ISAPRE.DAT);;;;;
campovx_03_vector;68;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;69;;;;;
campovx_11_fuente;CVC;;;;;
campovx_03_vector;74;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;77;;;;;
campovx_11_fuente;F1835;;;;;
campovx_03_vector;81;;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_03_vector;82;;;;;
campovx_11_fuente;F1887;;;;;
campovx_03_vector;83;;;;;
campovx_11_fuente;F1811;;;;;
campovx_03_vector;84;;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_03_vector;86;;;;;
campovx_11_fuente;F1862;;;;;
campovx_03_vector;87;;;;;
campovx_11_fuente;F1889;;;;;
campovx_03_vector;88;;;;;
campovx_11_fuente;F1890;;;;;
campovx_03_vector;89;;;;;
campovx_11_fuente;F1894;;;;;
campovx_03_vector;92;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;93;;;;;
campovx_11_fuente;F22;;;;;
campovx_03_vector;95;;;;;
campovx_11_fuente;Nómina Donaciones a Universidades e Inst. Profesionales, Ley Nº 18.681, de 1987 (DONAUNIV.DATAT-1);;;;;
