Campo;Fuente1;Fuente2;Fuente3;Fuente4;Fuente5;Fuente6
campovx_11_fuente;Declaración Jurada sobre Nomina Sence (F4500);;;;;
campovx_11_fuente;F1879;;;;;
campovx_11_fuente;F29;;;;;
campovx_11_fuente;F1879;;;;;
campovx_11_fuente;F29;;;;;
campovx_11_fuente;F50;;;;;
campovx_11_fuente;F29;;;;;
campovx_11_fuente;F29;;;;;
campovx_11_fuente;F29;;;;;
campovx_11_fuente;F1887;;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_11_fuente;F29bis;;;;;
campovx_11_fuente;Vector;;;;;
campovx_11_fuente;F29;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;F1832;;;;;
campovx_11_fuente;Nómina Donaciones a Universidades e Inst. Profesionales, Ley Nº 18.681, de 1987 (DONAUNIV.DAT);;;;;
campovx_11_fuente;F1832;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F29;;;;;
campovx_11_fuente;Nómina Superficie de Explotación Forestal Acogidos al D.L. Nº 701, de 1974 (FORESTAL.DAT);;;;;
campovx_11_fuente;F1870;;;;;
campovx_11_fuente;CVC;Vector Renta;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;CVC;Nómina SDF;;;;
campovx_11_fuente;F18XX;;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_11_fuente;Nómina Inversiones en el Extranjero (EXTERIOR.DAT);;;;;
campovx_11_fuente;F1889;;;;;
campovx_11_fuente;F1891;;;;;
campovx_11_fuente;F1891;;;;;
campovx_11_fuente;F1890;;;;;
campovx_11_fuente;F1894;;;;;
campovx_11_fuente;F1891;;;;;
campovx_11_fuente;F1891;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;Nómina Cotizaciones Mensuales, Art. 20 D.L. Nº 3.500, de 1980 (COTIZAC_ISAPRE.DAT);;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F1835;;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_11_fuente;F1887;;;;;
campovx_11_fuente;F1811;;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_11_fuente;F1862;;;;;
campovx_11_fuente;F1889;;;;;
campovx_11_fuente;F1890;;;;;
campovx_11_fuente;F1894;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;Nómina Donaciones a Universidades e Inst. Profesionales, Ley Nº 18.681, de 1987 (DONAUNIV.DATAT-1);;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F1870;;;;;
campovx_11_fuente;Avaluaciones;F1897AT, F1897AT-1 y F1897AT-2 y F1897AT-3;;;;
campovx_11_fuente;Avaluaciones;F1897AT, F1897AT-1 y F1897AT-2 y F1897AT-3;;;;
campovx_11_fuente;F1837;;;;;
campovx_11_fuente;F1837;;;;;
campovx_11_fuente;F22;CVC;;;;
campovx_11_fuente;F29;;;;;
campovx_11_fuente;F1811;;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_11_fuente;F1887;;;;;
campovx_11_fuente;Nómina Cotizaciones Mensuales, Art. 18 D.L. Nº 3.500, de 1980 (COTIZAC_AFP.DAT);;;;;
campovx_11_fuente;F1894;;;;;
campovx_11_fuente;F22;CVC;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22Sociedad;CVC;Vector RentaSociedad;;;
campovx_11_fuente;F50;;;;;
campovx_11_fuente;F1889;;;;;
campovx_11_fuente;F22;CVC;;;;
campovx_11_fuente;F1811;;;;;
campovx_11_fuente;Nómina Declaración Jurada de Adquisición de Viviendas Nuevas DFL2;;;;;
campovx_11_fuente;CVC;F22Sociedad;;;;
campovx_11_fuente;F22;CVC;;;;
campovx_11_fuente;Avaluaciones;F1897AT, F1897AT-1 y F1897AT-2 y F1897AT-3;;;;
campovx_11_fuente;Avaluaciones;F1897AT, F1897AT-1 y F1897AT-2 y F1897AT-3;;;;
campovx_11_fuente;Avaluaciones;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;F1890;;;;;
campovx_11_fuente;F1890;;;;;
campovx_11_fuente;Nómina Presencia Bursátil de Acciones en Bolsa (ACCIONES.DAT);;;;;
campovx_11_fuente;F1879;;;;;
campovx_11_fuente;F1879;;;;;
campovx_11_fuente;F1822;;;;;
campovx_11_fuente;F1822;;;;;
campovx_11_fuente;Nómina de Gastos de Capacitación SENCE (SENCE.DAT) ó Declaración Jurada sobre Nomina Sence (F4500);;;;;
campovx_11_fuente;Nómina Transferencias de Vehículos Nuevos (VEHICULO_NUEVO.DAT);Tabla Valor Moneda;;;;
campovx_11_fuente;Nómina Transferencias de Vehículos Usados (VEHICULO_USADO.DAT);;;;;
campovx_11_fuente;Avaluaciones;;;;;
campovx_11_fuente;Avaluaciones;;;;;
campovx_11_fuente;Nómina de Naves Marítimas (o Artefacto Naval) (TRANSFERENCIA_NAVES.DAT);Tabla de Moneda;Tabla de Cambios;;;
campovx_11_fuente;Nómina de Inscripción y Transferencias de Aeronaves (TRANSFERENCIA_AERONAVES.DAT);Tabla de Moneda;Tabla de Cambios;;;
campovx_11_fuente;F1894;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;Nómina de Fiscalización;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;Nómina de Renta Efectiva: Contribuyentes Agricultores, Mineros y Transportistas (CAMT.DAT);;;;;
campovx_11_fuente;Nómina Devolución de PPM por Término de Giro (PPM.DAT);;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;F22;;;;;
